Date,Open,High,Low,Close,Adj Close,Volume
2019-12-13,293.000000,315.399994,292.100006,309.049988,303.592163,73596154
2019-12-16,313.000000,319.700012,303.600006,309.750000,304.279816,48234582
2019-12-17,313.000000,314.799988,303.250000,305.049988,299.662811,28980623
2019-12-18,305.000000,308.399994,297.500000,302.250000,296.912262,25074944
2019-12-19,304.100006,305.799988,292.149994,293.850006,288.660614,22393931
2019-12-20,292.850006,306.500000,288.750000,299.350006,294.063477,39191346
2019-12-23,300.000000,306.500000,293.250000,295.899994,290.674408,25547080
2019-12-24,296.899994,313.500000,296.250000,310.049988,304.574493,43253984
2019-12-26,312.000000,319.799988,293.700012,297.149994,291.902313,45566741
2019-12-27,297.899994,307.399994,294.299988,301.000000,295.684326,40584607
2019-12-30,301.950012,309.299988,300.000000,306.850006,301.431030,23455965
2019-12-31,306.850006,316.899994,305.399994,313.200012,307.668884,34372679
2020-01-01,315.000000,318.299988,310.649994,312.700012,307.177734,18294197
2020-01-02,314.000000,328.600006,310.299988,325.149994,319.407837,31124957
2020-01-03,325.500000,335.799988,321.049988,329.600006,323.779266,38042432
2020-01-06,326.000000,327.149994,301.200012,304.399994,299.024292,31387511
2020-01-07,310.250000,317.399994,303.549988,308.200012,302.757202,32305742
2020-01-08,300.000000,313.000000,297.350006,310.100006,304.623627,23049670
2020-01-09,320.000000,332.799988,317.000000,322.700012,317.001129,34527599
2020-01-10,323.000000,327.700012,312.700012,314.100006,308.552979,25977301
2020-01-13,316.000000,319.000000,308.750000,313.500000,307.963593,16329816
2020-01-14,315.450012,316.750000,306.149994,307.350006,301.922211,16269491
2020-01-15,308.000000,316.450012,301.600006,311.450012,305.949799,22683327
2020-01-16,312.399994,314.500000,306.200012,307.500000,302.069550,12825085
2020-01-17,306.399994,311.000000,303.149994,304.649994,299.269867,11410286
2020-01-20,306.649994,307.850006,292.500000,294.399994,289.200897,15176534
2020-01-21,292.799988,305.799988,291.549988,301.149994,295.831665,16104115
2020-01-22,305.299988,305.950012,295.000000,296.299988,291.067322,12620677
2020-01-23,296.649994,317.600006,296.600006,312.100006,306.588318,30483567
2020-01-24,319.950012,326.399994,316.600006,322.600006,316.902893,26672842
2020-01-27,318.299988,329.700012,317.049988,322.950012,317.246704,20153251
2020-01-28,325.000000,331.200012,317.600006,320.200012,314.545288,19196983
2020-01-29,324.799988,328.399994,313.700012,315.149994,309.584442,16348765
2020-01-30,317.000000,318.500000,304.750000,307.950012,302.511597,16361804
2020-01-31,311.899994,314.000000,304.500000,306.399994,300.988953,16975776
2020-02-03,278.299988,288.000000,250.199997,256.600006,252.068451,32693890
2020-02-04,260.000000,283.200012,257.299988,276.850006,271.960815,35923574
2020-02-05,279.000000,284.149994,271.500000,276.700012,271.813477,20690497
2020-02-06,272.899994,326.399994,268.200012,318.950012,313.317352,103611027
2020-02-07,316.000000,329.000000,311.600006,321.399994,315.724060,42832351
